COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
77,0197,4/6/2020,W,44,27,20,35,81,208,472,774,845,754,716,792,829,882,778,944,985,1008,722,550,361,194,163,88,12272,18,1008,,
93,0198,4/6/2020,N,398,238,188,205,385,829,2677,3564,3653,3028,2962,3154,3460,3552,3881,5004,5807,5524,3655,2376,1858,1367,989,839,59593,17,5807,,
93,0198,4/6/2020,S,333,224,235,344,625,2135,5306,5915,4938,3758,3243,2984,2955,3234,3471,3795,3894,3659,2665,2046,1529,1082,855,583,59808,08,5915,,
14,0199,4/6/2020,N,117,71,56,79,115,228,563,888,982,1106,1145,1228,1337,1395,1529,1648,1931,1809,1207,899,652,431,325,229,19970,17,1931,,
14,0199,4/6/2020,S,97,54,67,90,241,704,1253,1513,1396,1168,1192,1236,1356,1344,1267,1396,1335,1269,931,717,613,427,312,150,20128,08,1513,,
32,0202,4/6/2020,N,3,1,0,1,9,17,19,16,27,15,20,21,27,18,22,31,33,30,18,20,14,6,9,3,380,17,33,,
32,0202,4/6/2020,S,1,2,0,5,9,15,20,27,33,26,33,21,11,10,15,21,29,19,22,9,9,6,4,1,348,09,33,,
12,0203,4/6/2020,E,60,44,42,87,183,434,897,1070,917,855,1051,1048,1136,1119,1150,1353,1508,1381,845,629,386,224,202,126,16747,17,1508,,
12,0203,4/6/2020,W,52,46,43,48,106,385,1048,1434,1297,1058,1006,1018,1066,1127,1107,1154,1210,1081,741,517,356,277,192,128,16497,08,1434,,
75,0204,4/6/2020,E,139,97,102,151,242,591,1106,1138,991,938,886,956,1085,1050,1291,1612,1765,1673,1032,723,520,418,357,283,19146,17,1765,,
75,0204,4/6/2020,W,77,87,138,244,402,958,1719,1843,1415,1178,1011,975,1027,1142,1085,1169,1170,1016,772,509,402,311,232,153,19035,08,1843,,
55,0207,4/6/2020,N,9,8,4,2,1,11,26,112,169,160,167,199,264,250,224,272,307,347,220,146,89,48,29,13,3077,18,347,,
55,0207,4/6/2020,S,8,3,4,3,9,35,111,274,242,238,204,177,234,235,215,213,220,221,179,133,74,66,15,11,3124,08,274,,
55,0211,4/6/2020,E,9,2,6,7,10,75,227,287,203,123,123,118,140,109,130,111,116,119,84,74,73,33,19,10,2208,08,287,,
55,0211,4/6/2020,W,11,2,6,3,6,25,67,88,91,96,127,108,137,149,158,192,271,311,169,100,42,25,17,14,2215,18,311,,
86,0214,4/6/2020,E,101,62,59,75,184,524,1280,1616,1302,1070,996,783,767,737,741,747,1108,1061,676,496,317,249,220,133,15304,08,1616,,
86,0214,4/6/2020,W,125,84,48,49,72,163,329,596,646,656,716,818,976,1016,1036,1323,1526,1467,1009,819,623,457,355,260,15169,17,1526,,
86,0215,4/6/2020,N,12,3,4,6,8,24,59,120,189,167,206,191,230,213,236,259,246,213,168,118,113,49,47,31,2912,16,259,,
86,0215,4/6/2020,S,6,6,4,3,6,21,59,143,181,206,208,203,257,235,254,296,246,231,186,157,97,50,39,24,3118,16,296,,
72,0216,4/6/2020,N,76,57,63,137,281,635,1149,1263,1056,913,960,973,1079,1137,1237,1605,1714,1594,1087,717,498,334,240,205,19010,17,1714,,
72,0216,4/6/2020,S,150,90,82,112,300,962,1804,1865,1597,1274,1343,1412,1551,1515,1836,2200,2306,2215,1412,1057,738,627,428,270,27146,17,2306,,
93,0217,4/6/2020,N,149,98,93,141,252,597,1662,2158,2063,1767,1738,1808,1899,1955,2168,2650,3244,3189,1773,1171,762,519,416,370,32642,17,3244,,
93,0217,4/6/2020,S,168,120,157,244,463,1216,2671,3586,2893,2022,1822,1758,1637,1745,1861,2070,2192,1943,1319,944,729,466,365,270,32661,08,3586,,
